customer_id,dob,age,age_imputed,gender,location,account_balance,tx_count,total_spend
C1017136,1990-11-04,26,26,F,KOLKATA,11115.48,2,295.63
C1047045,1979-12-21,37,37,M,KOLKATA,61110.80,2,523.95
C1022833,1959-11-19,57,57,F,PATNA,7908.80,1,875.07
C1036642,1970-12-19,46,46,M,HYDERABAD,3417.12,3,1692.18
C1030379,1962-03-17,54,54,M,GURGAON,17153.10,1,138.45
C1035958,1955-04-13,61,61,M,BANGALORE,14729.45,2,507.98
C1015485,1970-11-08,46,46,M,BANGALORE,2239.47,5,5041.43
C1001805,1994-10-28,22,22,M,NEW DELHI,23319.81,4,2244.10
C1031798,1979-09-20,37,37,F,BANGALORE,267097.79,3,1389.94
C1023021,1966-02-03,50,50,M,HYDERABAD,31057.98,2,641.74
C1019505,1954-10-23,62,62,M,AHMEDABAD,19618.38,4,1832.31
C1049579,1965-09-27,51,51,M,BANGALORE,11976.87,2,8927.53
C1023791,1976-11-20,40,40,F,CHENNAI,51129.60,6,5561.46
C1024253,1957-02-01,59,59,M,CHENNAI,8352.44,3,7827.47
C1039542,1968-04-02,48,48,M,PUNE,177222.75,2,667.07
C1046113,1951-06-05,65,65,M,NEW DELHI,62247.36,1,437.38
C1008025,1990-10-19,26,26,M,NOIDA,83251.48,1,1625.74
C1037647,1989-10-23,27,27,M,MUMBAI,43662.23,3,2943.33
C1017291,1997-04-14,19,19,M,SURAT,8604.96,2,873.21
C1037431,1983-09-25,33,33,M,BANGALORE,24914.04,1,67.56
C1008319,1963-03-06,53,53,M,BANGALORE,57958.85,2,530.49
C1040754,1957-09-14,59,59,F,PATNA,9915.96,5,7634.17
C1011462,1968-09-12,48,48,M,NEW DELHI,67901.69,3,2202.31
C1028883,1970-08-11,46,46,M,KOLKATA,3980.52,5,2179.14
C1022121,1993-04-13,23,23,M,SURAT,101668.39,2,3482.36
C1011584,1981-01-21,35,35,M,THANE,11210.85,5,3469.49
C1032438,1990-03-12,26,26,M,BANGALORE,15208.20,2,399.76
C1019366,1976-08-16,40,40,M,NEW DELHI,8971.61,3,2165.75
C1040727,1984-06-27,32,32,M,CHENNAI,3663.14,2,384.72
C1007982,1961-03-01,55,55,M,BANGALORE,1096.83,4,3580.92
C1014607,,,42,M,NEW DELHI,71.75,2,107.65
C1026276,1963-05-21,53,53,M,NEW DELHI,11791.37,5,2650.32
C1013412,1995-09-10,21,21,M,BANGALORE,34639.53,4,2496.68
C1046968,1998-09-18,18,18,F,BANGALORE,97325.25,5,6568.88
C1023882,1964-07-18,52,52,M,BANGALORE,6356.42,2,1603.99
C1001941,1979-05-03,37,37,M,PUNE,22863.46,1,400.55
C1030272,1980-10-06,36,36,M,NEW DELHI,76399.67,2,107.80
C1008921,1965-11-06,51,51,M,THANE,6418.75,3,1215.18
C1002474,1961-09-04,55,55,F,GURGAON,25228.02,4,6070.61
C1020453,1991-01-14,25,25,M,MUMBAI,15723.97,3,1352.59
C1015665,1993-01-17,23,23,M,AHMEDABAD,19030.94,1,148.95
C1014016,1961-12-25,55,55,M,CHENNAI,1361.76,7,9268.05
C1042759,1995-10-02,21,21,M,PATNA,13021.36,2,3757.71
C1013721,1963-07-10,53,53,M,MUMBAI,16311.95,3,1518.07
C1022293,1998-10-19,18,18,M,CHENNAI,8874.42,1,878.51
C1037428,1969-03-03,47,47,M,CHENNAI,28723.23,4,3511.01
C1041383,1997-07-22,19,19,F,BANGALORE,5219.51,2,359.53
C1024617,1967-04-16,49,49,M,BANGALORE,122770.28,4,2143.19
C1041766,1960-02-14,56,56,M,NEW DELHI,52009.76,4,2971.57
C1035805,1997-08-08,19,19,F,BANGALORE,13214.54,3,1134.98
C1018728,1971-08-02,45,45,F,NEW DELHI,12057.40,2,541.46
C1001094,1955-02-25,61,61,M,PUNE,19717.97,1,3198.69
C1021512,1979-10-18,37,37,M,MUMBAI,162045.94,3,1565.67
C1004437,1995-04-27,21,21,F,MUMBAI,3893.24,3,1980.09
C1033436,1996-01-01,20,20,M,NOIDA,18622.64,3,594.61
C1024341,1955-01-09,61,61,M,KOLKATA,6248.61,4,1683.69
C1001355,1980-10-12,36,36,M,KOLKATA,12520.79,2,6958.44
C1042213,1951-10-22,65,65,M,MUMBAI,5689.06,5,8509.79
C1038070,1971-10-05,45,45,F,BANGALORE,12771.38,2,1067.00
C1035832,1969-11-20,47,47,M,GURGAON,2709.72,1,460.78
C1007552,1986-03-10,30,30,M,MUMBAI,22634.85,3,3071.19
C1000664,1983-04-09,33,33,F,SURAT,25983.05,2,231.01
C1019848,1991-10-16,25,25,M,BANGALORE,19505.79,4,4747.91
C1040650,1977-05-26,39,39,M,HYDERABAD,19053.26,4,1880.29
C1022536,,,42,M,KOLKATA,7681.75,1,697.70
C1045146,1975-02-25,41,41,M,CHENNAI,65374.36,5,9040.36
C1020865,,,42,F,HYDERABAD,39558.92,2,66.22
C1024327,1962-11-28,54,54,M,INDORE,17281.26,4,3097.51
C1042453,1969-01-06,47,47,M,NEW DELHI,10819.97,2,1433.01
C1048974,1955-03-05,61,61,M,LUCKNOW,11264.16,3,3336.57
C1034616,,,42,M,CHENNAI,6114.71,1,3380.44
C1017829,1982-03-17,34,34,M,NEW DELHI,9062.36,5,12213.52
C1037480,,,42,M,INDORE,42957.98,4,1777.84
C1031810,1990-02-04,26,26,M,CHENNAI,6250.50,2,355.51
C1028895,1972-11-01,44,44,M,AHMEDABAD,4921.03,2,1036.52
C1029129,1963-01-07,53,53,M,HYDERABAD,4074.71,2,1446.42
